Loading pytorch-gpu/py3/2.3.1
  Loading requirement: cuda/12.4.1 nccl/2.21.5-1-cuda cudnn/9.2.0.82-cuda
    gcc/11.5.0 openmpi/4.1.5-cuda intel-oneapi-mkl/2024.1 magma/2.8.0-cuda
    sox/14.4.2 hdf5/1.12.0-mpi-cuda libjpeg-turbo/2.1.3 ffmpeg/6.1.1
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
⚙️ Using FACTOR: 1.0
⚙️ World size: 2
✅ Data, Model, and Optimizer initialized.
💾 Checkpoint will be saved as: flow_models/model_20260519_221627.ckpt
✅ Data loaded: 70000 samples, 136 batches per process.
🔥 Starting Training for 5 epochs...
Epoch 2/5 | step 144 | batch 8/136 | loss -1.0998
Epoch 2/5 | step 145 | batch 9/136 | loss -1.0976
Epoch 2/5 | step 146 | batch 10/136 | loss -1.1085
Epoch 2/5 | step 147 | batch 11/136 | loss -1.1145
Epoch 2/5 | step 148 | batch 12/136 | loss -1.1025
Epoch 2/5 | step 149 | batch 13/136 | loss -1.1078
Epoch 2/5 | step 150 | batch 14/136 | loss -1.1165
Epoch 2/5 | step 151 | batch 15/136 | loss -1.1278
Epoch 2/5 | step 152 | batch 16/136 | loss -1.1307
Epoch 2/5 | step 153 | batch 17/136 | loss -1.1269
Epoch 2/5 | step 154 | batch 18/136 | loss -1.1232
Epoch 2/5 | step 155 | batch 19/136 | loss -1.1242
Epoch 2/5 | step 156 | batch 20/136 | loss -1.1156
Epoch 2/5 | step 157 | batch 21/136 | loss -1.1411
Epoch 2/5 | step 158 | batch 22/136 | loss -1.1615
Epoch 2/5 | step 159 | batch 23/136 | loss -1.1320
Epoch 2/5 | step 160 | batch 24/136 | loss -1.1538
Epoch 2/5 | step 161 | batch 25/136 | loss -1.1321
Epoch 2/5 | step 162 | batch 26/136 | loss -1.1162
Epoch 2/5 | step 163 | batch 27/136 | loss -1.1668
Epoch 2/5 | step 164 | batch 28/136 | loss -1.1344
Epoch 2/5 | step 165 | batch 29/136 | loss -1.1031
Epoch 2/5 | step 166 | batch 30/136 | loss -1.1204
Epoch 2/5 | step 167 | batch 31/136 | loss -1.1369
Epoch 2/5 | step 168 | batch 32/136 | loss -1.1486
Epoch 2/5 | step 169 | batch 33/136 | loss -1.1344
Epoch 2/5 | step 170 | batch 34/136 | loss -1.1599
Epoch 2/5 | step 171 | batch 35/136 | loss -1.1603
Epoch 2/5 | step 172 | batch 36/136 | loss -1.1447
Epoch 2/5 | step 173 | batch 37/136 | loss -1.1642
Epoch 2/5 | step 174 | batch 38/136 | loss -1.1385
Epoch 2/5 | step 175 | batch 39/136 | loss -1.1928
Epoch 2/5 | step 176 | batch 40/136 | loss -1.1600
Epoch 2/5 | step 177 | batch 41/136 | loss -1.1748
Epoch 2/5 | step 178 | batch 42/136 | loss -1.1721
Epoch 2/5 | step 179 | batch 43/136 | loss -1.1741
Epoch 2/5 | step 180 | batch 44/136 | loss -1.1751
Epoch 2/5 | step 181 | batch 45/136 | loss -1.1580
Epoch 2/5 | step 182 | batch 46/136 | loss -1.1592
Epoch 2/5 | step 183 | batch 47/136 | loss -1.1736
Epoch 2/5 | step 184 | batch 48/136 | loss -1.1728
Epoch 2/5 | step 185 | batch 49/136 | loss -1.1764
Epoch 2/5 | step 186 | batch 50/136 | loss -1.1829
Epoch 2/5 | step 187 | batch 51/136 | loss -1.2041
Epoch 2/5 | step 188 | batch 52/136 | loss -1.1766
Epoch 2/5 | step 189 | batch 53/136 | loss -1.1941
Epoch 2/5 | step 190 | batch 54/136 | loss -1.1939
Epoch 2/5 | step 191 | batch 55/136 | loss -1.2000
Epoch 2/5 | step 192 | batch 56/136 | loss -1.2115
Epoch 2/5 | step 193 | batch 57/136 | loss -1.2077
Epoch 2/5 | step 194 | batch 58/136 | loss -1.2031
Epoch 2/5 | step 195 | batch 59/136 | loss -1.2002
Epoch 2/5 | step 196 | batch 60/136 | loss -1.2258
Epoch 2/5 | step 197 | batch 61/136 | loss -1.1842
Epoch 2/5 | step 198 | batch 62/136 | loss -1.1848
Epoch 2/5 | step 199 | batch 63/136 | loss -1.1994
Epoch 2/5 | step 200 | batch 64/136 | loss -1.2102
Epoch 2/5 | step 201 | batch 65/136 | loss -1.2126
Epoch 2/5 | step 202 | batch 66/136 | loss -1.2102
Epoch 2/5 | step 203 | batch 67/136 | loss -1.2314
Epoch 2/5 | step 204 | batch 68/136 | loss -1.2134
Epoch 2/5 | step 205 | batch 69/136 | loss -1.2465
Epoch 2/5 | step 206 | batch 70/136 | loss -1.2123
Epoch 2/5 | step 207 | batch 71/136 | loss -1.2299
Epoch 2/5 | step 208 | batch 72/136 | loss -1.2510
Epoch 2/5 | step 209 | batch 73/136 | loss -1.2055
Epoch 2/5 | step 210 | batch 74/136 | loss -1.2222
Epoch 2/5 | step 211 | batch 75/136 | loss -1.1711
Epoch 2/5 | step 212 | batch 76/136 | loss -1.1306
Epoch 2/5 | step 213 | batch 77/136 | loss -1.1984
Epoch 2/5 | step 214 | batch 78/136 | loss -1.0861
Epoch 2/5 | step 215 | batch 79/136 | loss -1.1164
Epoch 2/5 | step 216 | batch 80/136 | loss -1.0245
Epoch 2/5 | step 217 | batch 81/136 | loss -1.1388
Epoch 2/5 | step 218 | batch 82/136 | loss -1.2245
Epoch 2/5 | step 219 | batch 83/136 | loss -1.0609
Epoch 2/5 | step 220 | batch 84/136 | loss -1.1916
Epoch 2/5 | step 221 | batch 85/136 | loss -1.1721
Epoch 2/5 | step 222 | batch 86/136 | loss -1.1111
Epoch 2/5 | step 223 | batch 87/136 | loss -1.1405
Epoch 2/5 | step 224 | batch 88/136 | loss -1.1864
Epoch 2/5 | step 225 | batch 89/136 | loss -1.1757
Epoch 2/5 | step 226 | batch 90/136 | loss -1.1438
Epoch 2/5 | step 227 | batch 91/136 | loss -1.1841
Epoch 2/5 | step 228 | batch 92/136 | loss -1.1988
Epoch 2/5 | step 229 | batch 93/136 | loss -1.1799
Epoch 2/5 | step 230 | batch 94/136 | loss -1.1801
Epoch 2/5 | step 231 | batch 95/136 | loss -1.1857
Epoch 2/5 | step 232 | batch 96/136 | loss -1.1857
Epoch 2/5 | step 233 | batch 97/136 | loss -1.1878
Epoch 2/5 | step 234 | batch 98/136 | loss -1.2004
Epoch 2/5 | step 235 | batch 99/136 | loss -1.2133
Epoch 2/5 | step 236 | batch 100/136 | loss -1.2105
Epoch 2/5 | step 237 | batch 101/136 | loss -1.2056
Epoch 2/5 | step 238 | batch 102/136 | loss -1.2111
Epoch 2/5 | step 239 | batch 103/136 | loss -1.1790
Epoch 2/5 | step 240 | batch 104/136 | loss -1.2125
Epoch 2/5 | step 241 | batch 105/136 | loss -1.2256
Epoch 2/5 | step 242 | batch 106/136 | loss -1.1982
Epoch 2/5 | step 243 | batch 107/136 | loss -1.2100
Epoch 2/5 | step 244 | batch 108/136 | loss -1.2238
Epoch 2/5 | step 245 | batch 109/136 | loss -1.2293
Epoch 2/5 | step 246 | batch 110/136 | loss -1.2332
Epoch 2/5 | step 247 | batch 111/136 | loss -1.2097
Epoch 2/5 | step 248 | batch 112/136 | loss -1.2432
Epoch 2/5 | step 249 | batch 113/136 | loss -1.2338
Epoch 2/5 | step 250 | batch 114/136 | loss -1.2252
Epoch 2/5 | step 251 | batch 115/136 | loss -1.2339
Epoch 2/5 | step 252 | batch 116/136 | loss -1.2305
Epoch 2/5 | step 253 | batch 117/136 | loss -1.2428
Epoch 2/5 | step 254 | batch 118/136 | loss -1.2250
Epoch 2/5 | step 255 | batch 119/136 | loss -1.2661
Epoch 2/5 | step 256 | batch 120/136 | loss -1.2514
Epoch 2/5 | step 257 | batch 121/136 | loss -1.2525
Epoch 2/5 | step 258 | batch 122/136 | loss -1.2431
Epoch 2/5 | step 259 | batch 123/136 | loss -1.2325
Epoch 2/5 | step 260 | batch 124/136 | loss -1.2469
Epoch 2/5 | step 261 | batch 125/136 | loss -1.2454
Epoch 2/5 | step 262 | batch 126/136 | loss -1.2618
Epoch 2/5 | step 263 | batch 127/136 | loss -1.2354
Epoch 2/5 | step 264 | batch 128/136 | loss -1.2253
Epoch 2/5 | step 265 | batch 129/136 | loss -1.2316
Epoch 2/5 | step 266 | batch 130/136 | loss -1.2372
Epoch 2/5 | step 267 | batch 131/136 | loss -1.2292
Epoch 2/5 | step 268 | batch 132/136 | loss -1.2516
