timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:06:40.013, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 321.03 W, 53
2026/05/18 21:06:41.013, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 322.49 W, 53
2026/05/18 21:06:42.014, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.68 W, 53
2026/05/18 21:06:43.014, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 346.36 W, 53
2026/05/18 21:06:44.014, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 356.38 W, 53
2026/05/18 21:06:45.014, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 317.99 W, 53
2026/05/18 21:06:46.016, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 320.10 W, 53
2026/05/18 21:06:47.019, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 326.45 W, 53
2026/05/18 21:06:48.020, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 348.47 W, 53
2026/05/18 21:06:49.021, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 362.36 W, 53
2026/05/18 21:06:50.021, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 346.68 W, 53
2026/05/18 21:06:51.021, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.95 W, 53
2026/05/18 21:06:52.021, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 274.78 W, 54
2026/05/18 21:06:53.022, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 313.76 W, 54
2026/05/18 21:06:54.022, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 317.72 W, 54
2026/05/18 21:06:55.022, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 321.30 W, 54
2026/05/18 21:06:56.022, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.01 W, 54
2026/05/18 21:06:57.023, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 329.43 W, 54
2026/05/18 21:06:58.023, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 330.95 W, 54
2026/05/18 21:06:59.023, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 341.53 W, 54
2026/05/18 21:07:00.024, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 350.59 W, 54
2026/05/18 21:07:01.025, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 358.12 W, 55
2026/05/18 21:07:02.029, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 354.82 W, 54
2026/05/18 21:07:03.034, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 339.74 W, 54
2026/05/18 21:07:04.035, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 339.74 W, 54
2026/05/18 21:07:05.035, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 356.93 W, 54
2026/05/18 21:07:06.035, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 361.16 W, 54
2026/05/18 21:07:07.036, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 352.70 W, 54
2026/05/18 21:07:08.036, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 343.64 W, 55
2026/05/18 21:07:09.036, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 309.20 W, 55
2026/05/18 21:07:10.036, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 336.43 W, 55
2026/05/18 21:07:11.040, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 322.49 W, 54
2026/05/18 21:07:12.041, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.01 W, 54
2026/05/18 21:07:13.042, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.68 W, 54
2026/05/18 21:07:14.043, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.36 W, 54
2026/05/18 21:07:15.046, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 312.57 W, 54
2026/05/18 21:07:16.046, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.61 W, 55
2026/05/18 21:07:17.047, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.68 W, 55
2026/05/18 21:07:18.048, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 353.89 W, 55
2026/05/18 21:07:19.048, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 362.68 W, 55
2026/05/18 21:07:20.048, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 357.53 W, 54
2026/05/18 21:07:21.048, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 333.39 W, 54
2026/05/18 21:07:22.049, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 336.43 W, 54
2026/05/18 21:07:23.049, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 353.62 W, 54
2026/05/18 21:07:24.049, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 359.97 W, 55
2026/05/18 21:07:25.050, 0, NVIDIA A100-SXM4-80GB, 17 %, 6 %, 10607 MiB, 81920 MiB, 120.32 W, 47
2026/05/18 21:07:26.054, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 331.55 W, 53
2026/05/18 21:07:27.055, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.61 W, 54
2026/05/18 21:07:28.056, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.01 W, 54
2026/05/18 21:07:29.057, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 341.26 W, 54
2026/05/18 21:07:30.057, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 363.88 W, 54
2026/05/18 21:07:31.058, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 350.32 W, 55
2026/05/18 21:07:32.058, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 273.85 W, 54
2026/05/18 21:07:33.058, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 334.91 W, 54
2026/05/18 21:07:34.059, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 324.33 W, 55
2026/05/18 21:07:35.059, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 317.12 W, 55
2026/05/18 21:07:36.059, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 340.33 W, 55
2026/05/18 21:07:37.061, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 360.89 W, 55
2026/05/18 21:07:38.062, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 346.68 W, 54
2026/05/18 21:07:39.063, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 275.97 W, 55
2026/05/18 21:07:40.064, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 357.85 W, 55
2026/05/18 21:07:41.065, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 343.37 W, 55
2026/05/18 21:07:42.067, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 309.85 W, 55
2026/05/18 21:07:43.067, 0, NVIDIA A100-SXM4-80GB, 98 %, 34 %, 10607 MiB, 81920 MiB, 315.55 W, 55
2026/05/18 21:07:44.067, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 336.70 W, 55
2026/05/18 21:07:45.068, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 331.55 W, 55
2026/05/18 21:07:46.068, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 321.36 W, 55
2026/05/18 21:07:47.068, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 360.56 W, 55
2026/05/18 21:07:48.068, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 345.49 W, 55
2026/05/18 21:07:49.069, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 306.82 W, 55
2026/05/18 21:07:50.069, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 341.53 W, 55
2026/05/18 21:07:51.073, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 360.89 W, 55
2026/05/18 21:07:52.075, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 348.20 W, 55
2026/05/18 21:07:53.076, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 277.20 W, 55
2026/05/18 21:07:54.077, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 336.70 W, 55
2026/05/18 21:07:55.078, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 342.72 W, 55
2026/05/18 21:07:56.079, 0, NVIDIA A100-SXM4-80GB, 99 %, 37 %, 10607 MiB, 81920 MiB, 325.20 W, 55
2026/05/18 21:07:57.080, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 342.13 W, 56
2026/05/18 21:07:58.080, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 332.80 W, 56
2026/05/18 21:07:59.080, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 316.80 W, 55
2026/05/18 21:08:00.080, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 338.55 W, 55
2026/05/18 21:08:01.081, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 362.08 W, 56
2026/05/18 21:08:02.081, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 349.71 W, 56
2026/05/18 21:08:03.081, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 278.72 W, 56
2026/05/18 21:08:04.083, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 336.70 W, 56
2026/05/18 21:08:05.083, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 330.95 W, 55
2026/05/18 21:08:06.084, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 318.26 W, 56
2026/05/18 21:08:07.085, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 346.36 W, 56
2026/05/18 21:08:08.086, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 366.59 W, 56
2026/05/18 21:08:09.086, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 350.91 W, 56
2026/05/18 21:08:10.086, 0, NVIDIA A100-SXM4-80GB, 98 %, 35 %, 10607 MiB, 81920 MiB, 277.49 W, 56
2026/05/18 21:08:11.086, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 335.78 W, 56
2026/05/18 21:08:12.086, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 324.61 W, 56
2026/05/18 21:08:13.087, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 119.98 W, 47
2026/05/18 21:08:14.087, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 119.07 W, 45
2026/05/18 21:08:15.087, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 86.76 W, 43
2026/05/18 21:08:16.087, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 86.44 W, 42
2026/05/18 21:08:17.088, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 86.44 W, 41
2026/05/18 21:08:18.089, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 86.11 W, 41
2026/05/18 21:08:19.091, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 86.11 W, 40
